year,month,id_region,cliente,division,bl,mercancia,recorrido,importe_transaccion,cantidad_mercancia,kg_c02,arboles,precio_unitario,rendimiento,rendimiento_real,kg_c02_por_recorrido,year_month
2023,1,1000,02125-031,DAI,IGWC,G SUPER,402,1840.172449,82.38462585,199.4531792,13.29687861,22.33635742,7.0,5.95,0.496152187,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,100,652.232449,29.72462585,71.96331918,4.797554612,21.94249483,14.0,6.69,0.719633192,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,43,2042.322449,91.49462585,221.5084892,14.76723261,22.32177497,7.0,0.56,5.151360214,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,50,1939.952449,92.82462585,224.7284192,14.98189461,20.89911412,14.0,0.64,4.494568384,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,457,1898.982449,85.03462585,205.8688292,13.72458861,22.33187281,7.0,6.51,0.450478838,2023_1
2023,1,1000,02125-031,DAI,IGWC,G SUPER,728,1823.982449,81.65462585,197.6858492,13.17905661,22.33777242,7.0,10.89,0.271546496,2023_1
2023,1,1000,02125-031,DAI,IGWC,MAGNA,5,1398.032449,65.18462585,157.8119792,10.52079861,21.44727274,7.0,0.1,31.56239584,2023_1
2023,1,1003,02125-031,RPF,RPI,G SUPER,330,1096.273202,50.35692913,121.9141254,8.127608362,21.77005669,14.0,8.91,0.369436744,2023_1
2023,1,1003,02125-031,RPF,RPI,G SUPER,174,1124.103202,49.77692913,120.5099454,8.033996362,22.58281541,14.0,4.77,0.692585893,2023_1
2023,1,1003,02125-031,RPF,RPS,MAGNA,16,1691.433202,75.25692913,182.1970254,12.14646836,22.47544806,7.0,0.26,11.38731409,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,347,1290.073202,58.08692913,140.6284554,9.375230362,22.20935452,14.0,7.75,0.405269324,2023_1
2023,1,1003,02125-031,RPF,RPI,DIESEL,601,1976.483202,83.30692913,201.6860754,13.44573836,23.7253158,14.0,8.59,0.335584152,2023_1
2023,1,1003,02125-031,RPF,RPS,DIESEL,768,1990.483202,83.30692913,201.6860754,13.44573836,23.89336905,14.0,10.97,0.262612077,2023_1
2023,1,1003,02125-031,RPF,RPS,MAGNA,268,1863.203202,82.96692913,200.8629354,13.39086236,22.45717928,7.0,3.85,0.749488565,2023_1
2023,1,1003,02125-031,RPF,RPI,BP REGULAR,171,982.1132021,43.40692913,105.0881754,7.005878362,22.62572409,14.0,5.68,0.614550734,2023_1
2023,1,1003,02125-031,RPF,RPI,G SUPER,317,1722.363202,76.61692913,185.4895854,12.36597236,22.48019102,14.0,5.01,0.585140648,2023_1
